"","chunk_vid_id","chunk_vid_duration","chunk_vid_dimention","chunk_vid_definition","chunk_vid_caption","chunk_vid_licensedContent","chunk_vid_projection"
"234","#NAME?","PT1H12M36S","2d","hd",TRUE,TRUE,"rectangular"
"235","uCU5Bc2Q6pc","PT19M33S","2d","hd",FALSE,TRUE,"rectangular"
"236","j06RTT1fUUQ","PT53M10S","2d","hd",FALSE,TRUE,"rectangular"
"237","K7ZAzLjnqa0","PT5M59S","2d","hd",FALSE,TRUE,"rectangular"
"238","t2BfG32IDqs","PT5M49S","2d","hd",TRUE,TRUE,"rectangular"
"239","rvkm8DPbWgc","PT21M16S","2d","sd",FALSE,FALSE,"rectangular"
"240","hXBqZ1YKAcU","PT7M55S","2d","hd",TRUE,TRUE,"rectangular"
"241","u-PeNDF7jCI","PT1H30M59S","2d","sd",FALSE,TRUE,"rectangular"
"242","ZO1nhDbqL-s","PT5M7S","2d","hd",TRUE,TRUE,"rectangular"
"243","T2hyuhoBQdo","PT28M52S","2d","hd",TRUE,TRUE,"rectangular"
"244","w86gSYR-otA","PT4M29S","2d","hd",FALSE,TRUE,"rectangular"
"245","1bAN230aliU","PT6M36S","2d","hd",FALSE,TRUE,"rectangular"
"246","i-LCORFB860","PT3M26S","2d","hd",FALSE,FALSE,"rectangular"
"247","yGZ0yfEv1fU","PT10M9S","2d","hd",FALSE,FALSE,"rectangular"
"248","SPcn4iABOq4","PT1H29M11S","2d","hd",FALSE,TRUE,"rectangular"
"249","mQbsY2KTFHk","PT26M32S","2d","hd",FALSE,TRUE,"rectangular"
"250","TRZPLiLl9HY","PT7M14S","2d","hd",FALSE,TRUE,"rectangular"
"251","3e_gvryr8r4","PT13M33S","2d","hd",FALSE,TRUE,"rectangular"
"252","k7uhe91wGUE","PT5M36S","2d","hd",FALSE,TRUE,"rectangular"
"253","m11BH_xsdSs","PT1M34S","2d","hd",TRUE,TRUE,"rectangular"
"254","VMMyw-9oH6s","PT4M58S","2d","hd",FALSE,TRUE,"rectangular"
"255","Iw8apHDAXhk","PT3M6S","2d","hd",FALSE,TRUE,"rectangular"
